time_s,target_opening_deg,measured_opening_deg,closure_gap_mm
0.0,12.0,12.000000127813493,2.4143244909956433e-05
0.04,12.0,12.000000175141157,2.5952833827573728e-05
0.08,12.0,12.000002707707516,2.93387902535088e-05
0.12,12.0,12.000004380383649,2.9039530633813796e-05
0.16,12.0,12.000004411296647,3.1073920153708516e-05
0.2,12.0,12.000004413760726,3.282894552616915e-05
0.24,12.0,12.00000441384462,3.4254154263789664e-05
0.28,12.0,12.00000441789408,3.533137871871746e-05
0.32,12.0,12.00000442067271,3.622985890987808e-05
0.36,12.007195473251029,12.001275669912392,3.962672962694286e-05
0.4,12.177211934156379,12.041215442000206,7.15472746436894e-05
0.44,12.5655,12.180812211348936,0.00015327048390632457
0.48,13.161788065843622,12.463652194539222,0.000518654529741713
0.52,13.955804526748972,12.917556596535098,0.0014562354747789015
0.56,14.93727777777778,13.557705453120361,0.0032931040800561816
0.6,16.09593621399177,14.389696227453436,0.006343803320170496
0.64,17.421508230452673,15.412160866437956,0.010842558028299079
0.68,18.903722222222225,16.619050735028186,0.017031045680505265
0.72,20.53230658436214,18.001173293500134,0.025014750604865615
0.76,22.29698971193416,19.547391132750278,0.03477836820357681
0.8,24.187500000000004,21.24571967116233,0.046362207097838
0.84,26.1935658436214,23.083784312259247,0.059786424237294154
0.88,28.30491563786008,25.04911690096895,0.07481575074235834
0.92,30.51127777777778,27.129517748897882,0.09136141037764228
0.96,32.802380658436206,29.313071518469098,0.10925063926332945
1.0,35.16795267489712,31.58818978587448,0.1282479202463249
1.04,37.597722222222224,33.943605411492946,0.14817576149039535
1.08,40.08141769547325,36.36831774265994,0.16882954776173714
1.12,42.60876748971194,38.85156283240318,0.18997772212126726
1.16,45.16949999999999,41.38274246397707,0.21133635683976043
1.2,47.75334362139917,43.95139645795469,0.23271414218046524
1.24,50.350026748971196,46.54714748209337,0.2539197174941376
1.28,52.94927777777778,49.159694648047676,0.27468669604257767
1.32,55.540825102880675,51.77875765813472,0.2948319983898781
1.36,58.114397119341575,54.394093633332055,0.3140767921753677
1.4000000000000001,60.659722222222236,56.99546585506633,0.3322439468328654
1.44,63.16652880658436,59.572643223932346,0.3491224201140404
1.48,65.62454526748971,62.11539499680614,0.3645532771131075
1.52,68.02349999999998,64.61344393153823,0.37839674337769585
1.56,70.35312139917696,67.05656154243717,0.39046845446640716
1.6,72.6031378600823,69.43447075625107,0.4006486412171455
1.6400000000000001,74.76327777777777,71.73694658239714,0.40881117522431437
1.68,76.82326954732511,73.95368347614279,0.4149187415888784
1.72,78.772841563786,76.07441737273894,0.4189085872063476
1.76,80.60172222222222,78.08887205939745,0.4207603253394422
1.8,82.29963991769547,79.98677105976836,0.4204651741806577
1.84,83.8563230452675,81.75780349461921,0.4181093112387654
1.8800000000000001,85.2615,83.39170530771628,0.41373606911190564
1.92,86.50489917695472,84.87820590634571,0.407446517791755
1.96,87.57624897119341,86.20700427540704,0.3994142889439864
2.0,88.46527777777777,87.36781639480441,0.3898064954715905
2.04,89.16171399176955,88.35035291991689,0.3788478159176946
2.08,89.65528600823045,89.1443274658887,0.366846438156449
2.12,89.93572222222222,89.7394951427984,0.3540394201875771
2.16,90.0,90.12683014401125,0.3408112804079106
2.2,90.0,90.33476761781392,0.32758039704506253
2.24,90.0,90.42043948210762,0.31471288429216115
2.2800000000000002,90.0,90.428684020078,0.3023328710708139
2.32,90.0,90.39228533128274,0.2904236337974513
2.36,90.0,90.33411088200498,0.27900858825671176
2.4,90.0,90.26918792388614,0.26803658039483685
2.44,90.0,90.20667768463248,0.25745420867195146
2.48,90.0,90.15150086967888,0.24732187381720952
2.52,90.0,90.10574884800437,0.2375811620480427
2.56,90.0,90.06972330536175,0.2282457429656328
2.6,90.0,90.0426506975324,0.21928889871949994
2.64,90.0,90.02325624494688,0.2106833568480393
2.68,90.0,90.01007698836446,0.2023969654882715
2.72,90.0,90.00166313508728,0.19444066903373416
2.7600000000000002,90.0,89.99676237923131,0.18679867348475088
2.8000000000000003,90.0,89.99431504507355,0.17944716615563747
2.84,90.0,89.99349214174212,0.17238973387651932
2.88,90.0,89.99367863587949,0.16561060809572248
2.92,90.0,89.99439857221016,0.15908939786857654
2.96,90.0,89.99535895442969,0.15281933604672715
3.0,90.0,89.99636194332352,0.14679601606653586
3.04,90.0,89.99729122951751,0.14101858511334156
3.08,90.0,89.99808744708267,0.13546173212918125
3.12,90.0,89.99873030856641,0.13012342452533623
3.16,90.0,89.99921925523144,0.12499506774048166
3.2,90.0,89.99957312040169,0.12007564152055367
