frame,time_s,membrane_J,bending_J,kinetic_J,gravity_relative_J,cloth_mechanical_J,self_normal_J,body_normal_J,mechanical_plus_contact_J,overflow_rows,asymmetric_ee_pairs
0,0.0,1.0056317541191299e-12,2.4331901423218265,0.0,0.0,2.433190142322832,0.0,0.0,2.433190142322832,0,0
5,0.08333333333333333,0.25016571709950397,0.8793669686675268,0.0005890342972841784,-0.0015585893509598575,1.1285631307133552,0.0,0.0018812755351578399,1.130444406248513,0,0
10,0.16666666666666666,0.7375867258371602,0.977883309022211,0.0004186518412875504,-0.0032426777276864244,1.7126460089729723,0.0,0.001534959932606991,1.7141809689055791,0,0
15,0.25,1.0670929704526766,2.4294433285602297,0.00028936423886498906,-0.004365817829272353,3.492459845422499,0.052839326024167015,0.0032795031126844234,3.54857867455935,0,0
20,0.3333333333333333,1.5109171150374017,3.105598392732116,0.00013880381864140578,-0.005151800503715678,4.611502511084443,0.0012809491240411914,0.0005700938948852487,4.6133535541033694,0,0
25,0.4166666666666667,1.1091998333572686,3.0384483120514427,8.668544486865908e-07,-0.005361292478647195,4.1422877197845125,0.00022704716967314096,0.0002743817666804026,4.142789148720866,0,0
30,0.5,1.0194922218416358,3.0801598453016563,2.433989725338286e-07,-0.005373492527133414,4.094278818015131,0.0001864417534043733,0.00026132698165891863,4.094726586750195,0,0
35,0.5833333333333334,0.9700758143559272,3.092239383446418,1.641470036085459e-07,-0.005380616753515269,4.056934745195833,0.0001889267305182503,0.00024168444861435146,4.057365356374966,0,0
40,0.6666666666666666,0.9366114118513815,3.0875008747953405,1.3074937945859552e-07,-0.005385466604963238,4.018726950791138,0.00022475077714311848,0.00023453337596542753,4.019186234944247,0,0
45,0.75,0.9154399210799461,3.07491853261745,1.1379272323805222e-07,-0.005389502054830325,3.984969065435289,0.0002218486710000861,0.00023388565402224866,3.9854247997603114,0,0
50,0.8333333333333334,0.8992859492474305,3.0621524664415367,1.0396740750307922e-07,-0.005392958223354949,3.9560455614330197,0.00019958998846663663,0.00023246619905244783,3.9564776176205387,0,0
55,0.9166666666666666,0.8884563368262006,3.056353714497268,1.06818849286819e-07,-0.005396657916010655,3.9394135002263075,0.0001858004851582918,0.00023323974951460348,3.9398325404609804,0,0
60,1.0,0.8766811390614873,3.0509755926572355,6.646980040051569e-08,-0.005399773308444211,3.922257024880079,0.0001726331171606496,0.00023307679634453627,3.922662734793584,0,0
65,1.0833333333333333,0.8714383992316757,3.0435942480341556,2.1575082228567745e-07,-0.005402178972950325,3.9096306840437034,0.00040942793990461103,0.0004457938144134361,3.9104859057980215,0,0
