frame,time_s,membrane_J,bending_J,kinetic_J,gravity_relative_J,cloth_mechanical_J,self_normal_J,body_normal_J,mechanical_plus_contact_J,overflow_rows,asymmetric_ee_pairs
0,0.0,1.0056317541191299e-12,2.4331901423218265,0.0,0.0,2.433190142322832,0.0,0.0,2.433190142322832,0,0
5,0.08333333333333333,0.33056717165926053,0.9567551398426075,0.0005947288705187851,-0.0015757788708759962,1.2863412615015108,0.0,0.004485826595692987,1.290827088097204,0,0
10,0.16666666666666666,1.169295891652263,1.1751285061008343,0.00044109403338712315,-0.003273202450067056,2.3415922893364174,0.0,0.008042511883082408,2.3496348012194996,0,0
15,0.25,2.2931432643913094,3.5155589740525883,0.0003031775810101934,-0.004451459786367337,5.80455395623854,0.004932917118219514,0.002963952539298673,5.812450825896058,0,0
20,0.3333333333333333,3.6278415369098647,4.402798687397325,0.00012014516918616071,-0.005149029386087647,8.025611340090288,0.004965619586144289,0.003296819971974872,8.033873779648408,0,0
25,0.4166666666666667,2.8343504336966916,4.895933144183125,3.642687550994855e-06,-0.00534126774407824,7.7249459528232896,0.000975066700120866,0.0016802039637545938,7.727601223487165,0,0
30,0.5,2.6001509616828757,5.067541353204857,1.0690881314772377e-06,-0.005349650481565965,7.662343733494298,0.0009332096295405436,0.0014785354471077165,7.664755478570946,0,0
35,0.5833333333333334,2.4874169182158505,5.110197271128239,2.261925069584681e-07,-0.005355820193285191,7.592258595343312,0.004758874726307611,0.0015378494963181656,7.598555319565937,0,0
40,0.6666666666666666,2.403398433432836,5.107904853328627,2.8131530947868067e-07,-0.00536086967357037,7.505942698403202,0.001133883883004438,0.0015958549616695262,7.508672437247876,0,0
45,0.75,2.351212838809584,5.117833550388387,1.9455572932175513e-07,-0.005366577211765242,7.463680006541935,0.0010334921408175646,0.0016638565543332202,7.466377355237086,0,0
50,0.8333333333333334,2.3016277566411087,5.130412071683605,1.297513906193816e-07,-0.005371191121199381,7.426668766954904,0.0009524828116495609,0.0016568674384932819,7.429278117205047,0,0
55,0.9166666666666666,2.2485381029448837,5.1341342891968775,1.2734875987116937e-07,-0.005374786777044491,7.377297732713477,0.0009093784390117461,0.0016529026046680861,7.379860013757157,0,0
60,1.0,2.2130190749141723,5.1317871000209125,1.1633273945080517e-07,-0.005378880478396367,7.339427410789428,0.0009434571660960972,0.001734748909935847,7.34210561686546,0,0
65,1.0833333333333333,2.1776102127636054,5.1275188096717965,1.226511416798831e-07,-0.005382600110669364,7.299746544975874,0.0012820492078613286,0.00183852877394942,7.302867122957685,0,0
70,1.1666666666666667,2.953420061709486,5.20025350420154,2.1188020066042557e-06,-0.0053880252201602,8.148287659492873,0.988940979601632,28.83366392442595,37.97089256352045,0,0
75,1.25,13.935376790924952,5.424270575937371,5.318282794618869e-06,-0.005395289133524911,19.354257396011594,3.8378933028349893,141.55586804116214,164.74801874000872,0,0
80,1.3333333333333333,33.27210527857734,6.6546307387433,1.068565752859761e-05,-0.005398672550474201,39.921348030427694,7.268738536785193,267.75616989007284,314.9462564572857,0,0
85,1.4166666666666667,27.118057085625626,7.696203726508872,5.634600027274397e-05,-0.00533120895493748,34.808985949179835,4.607656084556515,114.57274562064892,153.98938765438527,0,0
90,1.5,25.517187048672653,7.667048849312638,1.424390843967126e-05,-0.005161260949912969,33.179088880943816,4.510896002812384,102.35688054622788,140.04686542998408,0,0
95,1.5833333333333333,26.313730438873556,7.5915328565672535,5.1051709467203515e-05,-0.004893554963584859,33.900420792186694,3.291640681839087,92.45482960945745,129.64689108348324,0,0
