mode,sweep,membrane_J,bending_J,membrane_damping_J,bending_damping_J,inertia_J,self_normal_J,body_normal_J,lagged_self_friction_J,lagged_self_damping_J,lagged_body_friction_J,lagged_body_damping_J,fixed_diagnostic_objective_J,conservative_inertial_J,current_body_normal_J,current_conservative_inertial_J,overflow_rows,asymmetric_ee_pairs
ordinary20,1,5.627305572323236,12.430223528138917,2.1362990664720635e-09,0.010141927943699313,1.3473654554155484e-07,0.4926503880661181,0.22969923649489826,0.004335022407928538,2.7519691896917522e-05,4.184157574256867e-05,0.10509655067683205,18.899521724192113,18.779878859759716,0.22969923649489826,18.779878859759716,0,0
ordinary20,2,5.630022482328192,12.43014648026751,2.689573938345783e-09,0.004728196850988164,2.527693301492975e-07,0.256591201746625,0.2026753340320916,0.009638794290903746,7.058205398707407e-06,0.00019052889430019553,0.03790280457264621,18.57190313664756,18.51943575114375,0.2026753340320916,18.51943575114375,0,0
ordinary20,3,5.630594184759141,12.430214422020324,2.4503997784052495e-09,0.0033656213859697506,3.72445781367935e-07,0.174496338423166,0.18755859250419551,0.005633780533581113,2.7619511572923074e-06,0.0001294780303112143,0.014080237049599405,18.446075791553625,18.422863910152607,0.18755859250419551,18.422863910152607,0,0
ordinary20,4,5.630417455656371,12.429828759742314,2.3585588353804105e-09,0.0018192379895242894,4.936941577850646e-07,0.1405686291365253,0.17804305593670872,0.0027897112010092174,8.805005335317842e-07,0.00013544799845092097,0.004760190477092413,18.388363864691247,18.378858394166077,0.17804305593670872,18.378858394166077,0,0
ordinary20,5,5.629369282565296,12.42932044287275,2.4784168643727913e-09,0.002044982244937832,6.163167372713764e-07,0.10830583501269808,0.17206377376045345,0.0024438944841715746,2.744232982907114e-07,0.00012864456408886307,0.0021676956025557864,18.345845444325406,18.339059950527936,0.17206377376045345,18.339059950527936,0,0
ordinary20,6,5.627659232789682,12.428416092855365,2.4952227480641464e-09,0.0012799072352465126,7.388493491652865e-07,0.09695802852196095,0.16740072048152646,0.0019254874008474787,7.458745999376297e-08,0.00013536934883865012,0.00045528215831828583,18.32423093672382,18.320434813497883,0.16740072048152646,18.320434813497883,0,0
ordinary20,7,5.6257179792926495,12.427582871624729,2.6185211421877962e-09,0.0018233267543122382,8.687974260527844e-07,0.08256371581282952,0.1597638819734692,0.0025439755301705667,4.2484116479775207e-08,0.00015427281153339176,0.001084551252501065,18.30123548895226,18.295629317501103,0.1597638819734692,18.295629317501103,0,0
ordinary20,8,5.623525143755836,12.42645563919379,2.7963750133749988e-09,0.0013889585936339957,1.0093266196211573e-06,0.08217967237687943,0.1499086081683894,0.0033401535841523075,3.181762730027396e-08,0.0001702062725877035,9.571199975883058e-05,18.287065137885648,18.282070072821515,0.1499086081683894,18.282070072821515,0,0
ordinary20,9,5.621429618746263,12.425391956277494,3.025936410393212e-09,0.0020762159814794717,1.1605607222047981e-06,0.07500210370913947,0.14102147035035345,0.003828765584128771,2.1808485909945702e-07,0.00018548918769479354,0.0007155164774843892,18.269652517985556,18.262846309643972,0.14102147035035345,18.262846309643972,0,0
ordinary20,10,5.619447374354744,12.424352803506387,3.2153076462040663e-09,0.0017563681032513705,1.318314257901253e-06,0.07378234537489783,0.1322746121769198,0.00256985077224672,3.967817442855808e-08,0.00021939574233574604,3.9691702349875846e-05,18.254443802940873,18.249858453727207,0.1322746121769198,18.249858453727207,0,0
ordinary20,11,5.617443638859077,12.423587273432583,3.517396528396553e-09,0.0023289579890215712,1.4854290456144682e-06,0.06540587739309651,0.12431339415776274,0.0021453091638345876,1.92288718517146e-08,0.00025700546574154986,0.000495698628595066,18.235978663265026,18.230751669271566,0.12431339415776274,18.230751669271566,0,0
ordinary20,12,5.615152607344088,12.422740895114982,3.7678848273139595e-09,0.002065498268835035,1.6598660713551023e-06,0.06581712578216943,0.11648960486545801,0.002382988896738478,1.2798655864662592e-08,0.00030709950566051213,2.8052782111942327e-05,18.224985548992656,18.22020189297277,0.11648960486545801,18.22020189297277,0,0
ordinary20,13,5.613146102146784,12.421895399709657,4.158964937084332e-09,0.0027488457509741732,1.8414423783619465e-06,0.059254223882320066,0.10941942088655673,0.003362005882497771,1.3743994177592465e-08,0.00035610833414890657,0.0003500629086947696,18.210534028846972,18.203716988067697,0.10941942088655673,18.203716988067697,0,0
ordinary20,14,5.610963455000649,12.420980596665784,4.511954491369227e-09,0.0025819513599793457,2.0309125295372547e-06,0.059771379375311726,0.10266521904414025,0.003970330777497269,1.9822555484283456e-08,0.0004240841965229925,4.156757227833399e-05,18.201400639239203,18.194382680998412,0.10266521904414025,18.194382680998412,0,0
ordinary20,15,5.608794754800048,12.42034429855001,4.951602643386607e-09,0.0032571584741955006,2.226529941437608e-06,0.05400769022769971,0.09643560853981084,0.004514880108936518,1.040386372040378e-08,0.0005125046081354319,0.00027438861044446936,18.188143525804687,18.17958457864751,0.09643560853981084,18.17958457864751,0,0
ordinary20,16,5.606538904620027,12.419439015548313,5.459248281935665e-09,0.003211434082291859,2.4306101219573736e-06,0.056198454424718026,0.09050636649995669,0.005399264430934763,1.399162682562808e-07,0.0006288127337012919,5.444286133275129e-05,18.181979271186915,18.172685171703137,0.09050636649995669,18.172685171703137,0,0
ordinary20,17,5.604720051142385,12.418723107732882,5.863027269376099e-09,0.0039029394999604452,2.639217734017512e-06,0.05003157344237365,0.08505230880979034,0.00411012009323017,2.2619298299012187e-08,0.0007159576852534578,0.000206772026205046,18.167465498132138,18.158529680345165,0.08505230880979034,18.158529680345165,0,0
ordinary20,18,5.602598269621672,12.417998003517411,6.29274955331785e-09,0.003772943033361682,2.853999180413182e-06,0.050469761067508084,0.07986898211908891,0.0032040504006602827,1.800456080837787e-08,0.0008531362925203948,7.290312676507809e-05,18.158840927475477,18.15093787032486,0.07986898211908891,18.15093787032486,0,0
ordinary20,19,5.600555163700919,12.417340183554149,6.836231308730628e-09,0.004494696373234573,3.074443548341264e-06,0.04573661234069985,0.07516297908145446,0.004044276658086817,7.523751766404387e-09,0.0010372473981663157,0.00017176999867631558,18.148546017908917,18.13879801312077,0.07516297908145446,18.13879801312077,0,0
ordinary20,20,5.59839586079751,12.416488468622155,7.385112056420491e-09,0.004469097068838287,3.3002205715184675e-06,0.046605325788315416,0.07061580560107256,0.004787913552628949,1.5379400392702712e-08,0.0011810950616602935,9.989007369039647e-05,18.142646779550955,18.132108761029624,0.07061580560107256,18.132108761029624,0,0
